word	count
mleko	247
zwłoka	1
	0
piwo	306
żarówka	253
kot	364
pies	271
banan	147
teściowa	567
szkło	2344
pszok	2199
bateria	189
zabawka	52
telefon	2130
ogryzek	668
brat	111
styropian	1793
siostra	231
trup	3
butelka	3884
skarpetka	14
telewizor	1607
pieniądz	3
papier	2852
samochód	1439
lustro	1349
plastik	1402
złoto	1284
sok	52
dom	1202
włos	1
ubranie	57
but	9
jogurt	98
kupa	755
śmieciarz	1136
olej	487
podpaska	97
komputer	1005
pampers	66
żona	239
popiół	1000
gruz	939
kość	0
jajko	217
opona	48
chleb	880
toaletowy	886
mięso	883
woda	124
wódka	70
dywan	849
rower	832
masło	118
lek	12
pielucha	56
pak	785
metal	813
trawa	175
choinka	66
snickersie	709
asystent	288
dzięk	0
dziecko	729
jedzenie	727
puszek	1
długopis	681
karton	4237
śmieć	0
drzwi	667
jabłko	656
obiad	49
plastikowe	1520
człowiek	131
ziemniak	9
puszka	1260
nara	650
krzesło	635
liść	0
prezerwatywa	252
słoik	1305
obierek	2
kurwa	1276
dżem	14
wyłącz	737
wino	42
pojemnik	1115
szklanka	117
dziękuję	1087
kawał	507
gówno	595
gazeta	79
masz	1582
ciało	543
majtki	471
mąż	16
żart	391
imię	409
worek	592
drewno	330
czarny	603
dupa	87
skarpeta	4
uran	269
herbata	34
dowcip	254
dziewczyna	108
jesteś	1630
mama	180
chips	0
ząb	18
siebie	247
głupi	294
mebel	4
kwiat	10
złom	222
książka	29
pizza	23
narkotyk	1
stara	176
gacie	224
kawa	42
dezodorant	197
paragon	198
odchód	0
CD	0
kolega	36
cola	5
plastikowa	383
kurczak	27
żwirek	293
aluminiową	193
farba	51
plastikową	561
chłopak	59
radioaktywne	202
higieniczne	166
pa	399
wiem	424
papieros	17
chusteczka	77
auto	178
kubek	352
okular	0
gabaryt	18
paznokieć	0
sąsiad	8
łóżko	160
wiesz	427
zwierzę	154
mózg	156
drzewo	137
bomba	72
chomik	20
folia	323
tato	15
pytanie	307
żucie	0
sika	4
tampon	127
talerz	133
aluminiowa	150
pogoda	180
schrodingera	121
papierowy	170
diament	16
bio	143
aluminium	127
słowo	34
rzecz	27
opakowanie	3933
napój	8
akumulator	137
murzyn	26
papierowe	191
śmietana	6
stół	128
freddiego	120
odpad	11
raz	110
brązowego	144
jakiego	1038
mieszkasz	124
ziemia	144
kwiatek	44
szef	16
nos	10
szok	110
lodówka	76
segregować	0
godzina	113
żółtego	171
kondon	19
smok	108
spodnie	122
guma	70
rozmawiać	0
czarownica	9
żółty	286
lego	127
laptop	99
matka	25
ucho	16
konserwa	18
kibel	99
alkohol	101
tata	132
krew	94
kosz	224
owoc	24
pomarańcza	10
rządzi	86
foliowe	134
poduszka	47
radio	101
gałąź	2
zupa	7
ciekawego	87
piosenka	25
okno	90
ryba	47
atomową	89
golenie	0
garnek	87
silnikowy	81
mysz	90
siku	90
kanapa	27
chodzi	165
szampon	7
mocz	84
ludzkie	340
mać	0
wiadomość	0
koń	20
ser	92
ojciec	12
śmietnik	117
wibrator	79
słońce	81
lekarstwo	16
koniec	196
powietrze	82
babcia	122
szkoła	5
żyd	8
serce	78
samochodowe	79
płaska	74
segregacja	89
cukierek	1
cisza	3
porcelana	4
kondom	65
pytaj	354
dobry	264
kosmetyk	6
pytać	0
zużyte	1229
kaloryfer	70
chcę	986
marihuana	56
szklaną	186
zielony	103
tabletka	2
elektronik	1
słuchawka	0
materac	83
gra	41
lód	11
przyprawa	0
czekolada	30
metalowe	195
pudełko	1167
szklane	492
pet	79
szmat	0
zmieszane	86
hej	159
pomoc	93
drukarka	12
ciuch	1
azbest	64
pralka	40
rzygi	72
elektronika	71
szafa	65
penis	14
k	80
elektrośmieć	0
kał	65
samolot	67
serek	12
kapeć	0
zegarek	67
stary	1667
nóż	67
chuj	60
Michał	0
kabel	75
wyrzucamy	1004
rodzic	3
śmiało	91
handlowa	60
życie	71
płód	63
proton	58
szczur	12
elektrozłom	70
humor	67
rodzina	4
keczup	15
komórkowy	60
królik	8
mądry	73
patelnia	33
Kaczyński	0
sperma	8
śmieciarka	70
idź	138
powiedz	773
nazwisko	63
antymateria	7
krem	17
foliowa	65
wystarczy	82
lampa	30
toaleta	18
policja	25
perfuma	0
samochodowy	57
bąbelkową	55
takiego	133
głowa	21
kolor	166
teść	0
dildo	58
ręcznik	196
węgiel	62
pościel	63
wina	57
świat	60
orzech	3
plecak	62
nazywasz	65
kibelek	44
coca	27
wiedzieć	0
foliowy	59
zapytaj	373
kiełbasa	28
przysłowie	52
animatronika	53
spożywczym	53
policjant	12
ręka	27
przykład	257
zdjęcie	35
odkurzacz	49
zapytać	0
miłość	0
paweł	99
kredka	0
noga	29
koleżanka	15
widzenie	0
beton	54
spierdalaj	114
żelazko	51
pranie	19
silnikowym	51
chyba	192
budowlane	55
broń	68
pepsi	50
pracujesz	66
kupka	10
fajans	51
aplikacja	58
lusterko	51
tył	1
szklana	155
gąbka	8
urodziny	53
stare	1775
syn	5
pszok-u	48
las	5
gadać	0
onet	124
praca	9
spać	0
czekaj	146
makaron	55
nauczyciel	12
strzykawka	34
play	51
palec	49
pierdolę	76
DVD	0
pistolet	51
piasek	56
granat	61
rtęć	0
dalej	124
animatroniki	45
czajnik	61
warzywo	4
atomowa	45
srebro	49
zarabiasz	52
tablet	48
dobro	0
pomóc	103
margaryna	1
obraz	53
marchewka	23
czołg	44
whisky	46
śledź	0
pluton	45
kołdra	24
siusiu	50
wyjebać	0
szyba	50
kamień	43
powiedział	137
star	15
słoń	9
kuweta	10
Mateusz	0
rzepakowym	42
nakrętka	43
fajny	71
mycie	5
kutas	6
morda	5
logarytm	0
wywalić	0
księżyc	45
matematyka	8
córka	20
wymiociny	43
piec	32
okej	355
porozmawiać	0
dziadek	10
ryj	50
niebieski	102
kolorowe	120
cegła	21
fotel	48
elektroniczny	44
baton	0
ogórek	34
dobranoc	56
jajo	14
Robert	0
zwierzęce	72
pytam	186
debil	43
brązowy	113
ogień	41
tektura	47
brudne	1748
majonez	13
śmieszne	56
parówka	9
aluminiowe	61
papa	88
papierek	1084
chcesz	251
wyłączyć	0
odzież	51
pomidor	34
batonik	4
mydło	39
koc	42
naczynie	8
rajstopy	43
pszoku	51
kanarek	37
mapa	10
kanapka	20
bioodpad	0
jebany	64
reklamówka	49
piłka	7
myśl	6
wrzucamy	578
kochasz	44
rozumiesz	63
płyta	19
rękawiczka	1
biurko	40
roślinnym	36
kapsel	76
siri	41
mineralnej	36
proszę	175
klawiatura	22
Marcin	0
lubisz	260
ryż	13
placek	6
światło	39
AGD	0
klejącą	35
głośnik	43
domestosie	36
niemiec	4
zeszyt	49
żartowałem	52
segreguje	114
elektryczne	48
problem	101
dać	0
rybka	22
szyb	10
chce	151
mówi	108
mówię	89
czujesz	40
zegar	43
toaletowa	2
fortnite	36
czerwony	76
wie	63
pieluszka	6
dzień	178
mówisz	97
zapalniczka	31
łysy	0
rozmowa	20
sprzedać	0
ołówek	33
